Número do Processo,Localização Atual,Foro,Vara,Controle,Classe,Assunto,Distribuição,reu_preso,Relatório Final,Denúncia,Defesa Prévia,Razões de Apelação,Contrarrazões de Apelação,Sigilo,e-SAJ
1500929-97.2026.8.26.0599,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000645,Ação Penal - Procedimento Ordinário,Lesão Cometida em Razão da Condição de Mulher,2026-05-25,True,2026-05-25,2026-05-26,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004KBL0000&processo.numero=1500929-97.2026.8.26.0599
1500918-68.2026.8.26.0599,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000643,Ação Penal - Procedimento Ordinário,Decorrente de Violência Doméstica,2026-05-25,True,2026-05-25,2026-05-26,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004KB80000&processo.numero=1500918-68.2026.8.26.0599
1507660-83.2026.8.26.0446,9º Promotor de Justiça de Piracicaba,Juiz das Garantias - 4ª RAJ - Piracicaba,Vara Regional das Garantias da 4ª RAJ - Piracicaba,2026/009775,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-22,True,2026-05-25,2026-05-27,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00008050000&processo.numero=1507660-83.2026.8.26.0446
1507701-50.2026.8.26.0446,9º Promotor de Justiça de Piracicaba,Juiz das Garantias - 4ª RAJ - Piracicaba,Vara Regional das Garantias da 4ª RAJ - Piracicaba,2026/009897,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-25,False,2026-05-27,2026-05-30,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE000081C0000&processo.numero=1507701-50.2026.8.26.0446
1507533-48.2026.8.26.0446,11º Promotor de Justiça de Piracicaba,Juiz das Garantias - 4ª RAJ - Piracicaba,Vara Regional das Garantias da 4ª RAJ - Piracicaba,2026/009646,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-20,True,2026-05-25,2026-05-27,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00007WH0000&processo.numero=1507533-48.2026.8.26.0446
1507460-76.2026.8.26.0446,9º Promotor de Justiça de Piracicaba,Juiz das Garantias - 4ª RAJ - Piracicaba,Vara Regional das Garantias da 4ª RAJ - Piracicaba,2026/009555,Inquérito Policial,Constrangimento ilegal,2026-05-19,True,2026-05-27,2026-05-30,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00007UC0000&processo.numero=1507460-76.2026.8.26.0446
1507262-39.2026.8.26.0446,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000624,Ação Penal - Procedimento Sumário,Leve,2026-05-19,True,2026-05-20,2026-05-21,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00007OD0000&processo.numero=1507262-39.2026.8.26.0446
1507268-46.2026.8.26.0446,6º Promotor de Justiça de Piracicaba,Juiz das Garantias - 4ª RAJ - Piracicaba,Vara Regional das Garantias da 4ª RAJ - Piracicaba,2026/009328,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-18,False,2026-05-25,2026-05-28,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00007OJ0000&processo.numero=1507268-46.2026.8.26.0446
1506866-47.2026.8.26.0451,9º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2026/000623,Inquérito Policial,Extorsão,2026-05-28,True,2026-05-22,2026-05-22,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000XXLG0000&processo.numero=1506866-47.2026.8.26.0451
1506892-45.2026.8.26.0451,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000644,Termo Circunstanciado,Desacato,2026-05-25,False,,2026-05-25,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000XXN30000&processo.numero=1506892-45.2026.8.26.0451
